,title,hits
73,살빼고 리즈로 돌아온 아이브 리즈 #shorts,1672824
144,IVE (아이브) - My Satisfaction | Show! MusicCore | MBC230311방송,1671126
434,[페이스캠4K] 아이브 가을 'After LIKE' (IVE GAEUL FaceCam) @SBS Inkigayo 220904,1670603
324,대학로에 등장한 아이브,1668254
282,[아이브] 억울한 레이ㅋㅋㅋㅋㅋ (feat. 아니야),1636606
235,아이브 i am #독박고음 도즈언!!!!!!!,1633842
116,IVE (아이브) 'LOVE DIVE' 교차편집 (Stage Mix) [4K],1626691
114,현재 난리난 장원영 VS 리즈 가창력 비교ㄷㄷ아이브 녹음실에서 포착된 충격적인 장면 (ft.리즈 차별 논란),1615735
455,(Teaser) [BE ORIGINAL] IVE(아이브) 'I AM' (4K),1611891
48,아이브 I AM 뮤비 다이빙 촬영 ㅎㄷㄷㄷ,1575652
464,[아이브] 아이엠 막방.. 그리고 쉼표머리(반깐) 안유진,1553743
379,"[EN/CN] 제 2의 (여자)아이들, 아이브, 뉴진스, NCT, 블랙핑크, 세븐틴... 을 찾습니다ㅣ캐스팅 매니저ㅣ워크돌ㅣ슈화",1539209
102,Blue Blood (Blue Blood),1519550
296,IVE 아이브 'I AM' MV Cover #ive #iam #아이브 #cover #커버 #acnh #모동숲,1518275
143,"아이브(IVE), 통통 튀는 매력 보여주는 무대 ＜카라 - Pretty Girl♬＞ #SBS가요대전 #SBSenter",1506937
165,가사 틀린 범인 찾기 [아이브],1489531
399,아이브 아이엠 랜덤배속 챌린지 IVE 아이브 'I AM' Random Speed #shorts #뚜아뚜지,1488492
32,IVE.zip 📂 ELEVEN부터 I AM까지 | Show! MusicCore,1486782
419,IVE 아이브 'ELEVEN' MV EXTRA CUT,1483670
310,[아이브 안유진] 킹받은 영석이형ㅋㅋㅋㅋ feat 복식호흡,1466999
512,I AM - IVE [Music Bank] | KBS WORLD TV 230421,1458619
196,(충격 논란?) 샤워할 때 슬리퍼 (신는다 VS 안 신는다) [아이브 안유진],1446938
194,Kitsch 완전체 무대 아이브,1395734
76,"IVE (아이브), THE SHOW CHOICE! [THE SHOW 230418]",1389376
149,IVE (아이브) - Kitsch (키치) Stage Mix 무대모음 교차편집,1383919
251,또 이서 놀리는 안유진 ㅋㅋㅋㅋㅋ (♬ 아이브 I AM 안무 연습),1365424
124,"아이브 “I AM"" 구글번역하면?",1364335
542,[가요대제전] IVE YUJIN - Lion Heart(아이브 안유진 - 라이언 하트) FanCam | MBC Music Festival | MBC221231방송,1352581
351,리코더의 신 IVE 아이브 ‘I AM’ 연주 #shorts [민쩌미],1330573
511,[MPD직캠] 아이브 안유진 직캠 4K 'Kitsch' (IVE YUJIN FanCam) | @MCOUNTDOWN_2023.4.13,1292999
409,[아이브] 결국 눈물 흘리는 레이..😭😭,1281352
214,IVE(아이브) - LOVE DIVE @인기가요 inkigayo 20220417,1274595
312,IVE 아이브 'I've IVE' Highlight Medley,1252313
536,IVE 아이브 MV 'I AM' - 비하인드,1245879
199,스쿱마켓에서 아이브앨범 뽑기 #샤빵구 #스쿱마켓 #funny #shorts,1245438
212,[MPD직캠] 아이브 1위 앵콜 직캠 4K 'I AM' (IVE No.1 Encore FanCam) | @MCOUNTDOWN_2023.4.27,1241859
479,아이브 무대 실제로 보면 이런 기분 #아이브 #IAM #아이엠 #shorts,1235886
