,title,hits
352,무도가 또..! 뉴진스를 예언한 무한도전,1883187
465,확신의 일진상 | Ditto - NewJeans 디토 뉴진스,1789454
427,[ENG] 미세먼지가 심한 날엔 맑은 다니엘을 보자!🐥🍋 뉴진스 다니엘의 가방 속 최초 공개 | MY VOGUE,1779447
284,[페이스캠4K] 뉴진스 하니 'Ditto' (NewJeans HANNI FaceCam) @SBS Inkigayo 230115,1777760
348,[뉴진스] 강해린의 허풍도 단속하는 민지,1774927
253,[뉴진스] 신곡 하잎보이 민지&혜인 극락파트 안무...,1773324
52,ⓃⒺⓌⒿⒺⒶⓃⓈ 뉴진스 전곡 모음 NewJeans all songs ✴︎,1773121
476,[페이스캠4K] 뉴진스 민지 'Attention' (NewJeans MINJI FaceCam) @SBS Inkigayo 220807,1754571
459,[뉴진스] 팜하니 쾌녀,1730226
329,[K-Fancam] 뉴진스 하니 직캠 'Ditto' (NewJeans HANNI Fancam) l @MusicBank 230120,1705243
73,뉴진스 영어로만 얘기하는 거 보니 사이 안 좋다고? 혜인이가 직접 설명하는 그날 사건 #뉴진스 #혜인 #다니엘 #하니,1704008
409,NewJeans (뉴진스) 'ETA' 티저,1686524
486,[얼빡직캠 4K] 뉴진스 민지 'Hype Boy' (NewJeans MINJI Facecam) @뮤직뱅크(Music Bank) 220819,1678154
277,(ENG) 너네 100명의 위인 다 알아? 왜 나한테 이래ㅣ뉴진스 아이브 르세라핌 엔믹스 블랙핑크 세븐틴 근데 이제 앨범깡도 곁들인..ㅣ할명수 ep.98,1670955
430,[KPOP IN PUBLIC / ONE TAKE] NewJeans (뉴진스) ‘OMG’ | DANCE COVER | Z-AXIS FROM SINGAPORE,1668165
105,New Jeans - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 230714 방송,1663643
298,NewJeans (뉴진스) - Ditto 「Audio」,1662425
390,[K-Choreo 8K HDR] 뉴진스 직캠 'Attention' (NewJeans Choreography) l @MusicBank 220805,1640956
312,[뉴진스] 다니엘 감당하기,1637346
218,[뉴진스] 시무륵한 하니ㅠㅠㅠ,1634275
443,[안방1열 직캠4K] 뉴진스 하니 'Ditto' (NewJeans HANNI FanCam) @SBS Inkigayo 230115,1626659
138,"뉴진스[NewJeans], 하이브가 찾아낸 뉴진스 멤버들의 캐스팅 일화(ENG, ESP, INDO)",1614583
412,[K-Choreo 8K HDR] 뉴진스 직캠 'Ditto' (NewJeans Choreography) l @MusicBank 230120,1609592
524,[뉴진스] 마지막 궁색한 변명까지 완벽 #newjeans #뉴진스,1605779
267,NewJeans (뉴진스) - OMG 「Audio」,1584983
5,[𝗡𝗲𝘄𝗝𝗲𝗮𝗻𝘀 𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 뉴진스 노래 모음🐰 (전곡 | All Songs) #Playlist #NewJeans #KPop,1580176
59,NewJeans(뉴진스) - ETA @인기가요 inkigayo 20230730,1573780
474,[안방1열 직캠4K] 뉴진스 하니 'OMG' (NewJeans HANNI FanCam) @SBS Inkigayo 230115,1569629
